English	Pin Yin	Chinese	Audio	SpoodFed order
Does Shanghai have a lot of people?	Shànghǎi rén hěn duō ma?	上海人很多吗？	[sound:G007-02.mp3]	251
Shanghai has a lot of people.	Shànghǎi rén hěn duō.	上海人很多。	[sound:G007-03.mp3]	252
I'm not going to Shanghai.	Wǒ bù yào qù Shànghǎi.	我不要去上海。	[sound:G004-01.mp3]	253
Why will she go back to Shanghai today?	Tā wèishénme jīntiān yào huí Shànghǎi?	她为什么今天要回上海？	[sound:G035-05.mp3]	254
We've returned home.	Wǒmen huíjiā le.	我们回家了。	[sound:tmpadhvpx.mp3]	255
Can I go home?	Wǒ kěyǐ huí jiā ma?	我可以回家吗？	[sound:R032-02.mp3]	256
She can return home.	Tā kěyǐ huí jiā.	她可以回家。	[sound:R032-03.mp3]	257
What time is he going back home?	Tā jǐdiǎn huí jiā?	他几点回家？	[sound:R032-04.mp3]	258
What time are you going home?	Nǐ jǐdiǎn huí jiā?	你几点回家？	[sound:G032-02.mp3]	259
What did you answer?	nǐ huídá le shénme ?	你回答了什么？	[sound:335067.mp3]	260
Do you like music? <br /> Do you love music?	nǐ xǐhuān yīnyuè ma ?	你喜欢音乐吗？	[sound:333747.mp3]	261
&quot;She likes music.&quot; &quot;So do I.&quot;	&quot; tā xǐhuān yīnyuè .&quot;&quot; wǒ yě shì .&quot;	“她喜欢音乐。”“我也是。”	[sound:334470.mp3]	262
Is speaking also difficult?<br />Speaking is not too difficult.	Shuō yě nán ma?<br />Shuō bú tài nán.	A说也难吗?<br/>B说不太难。	[sound:R013-DLG.mp3]	263
Believe me he said.	xiāngxìn wǒ . tā shuō .	“相信我。”他说。	[sound:334478.mp3]	264
He speaks English really well.	Tāde Yīngyǔ shuōde hěn hǎo.	他的英语说得很好。	[sound:G008-02.mp3]	265
I don't speak English very well.<br />I also don't speak it very well.	Wǒ Yīngyǔ shuō de bú tài hǎo.<br />Wǒ yě shuō de bú tài hǎo.	A我英语说得不太好。<br/>B我也说得不太好。	[sound:R008-DLG.mp3]	266
You speak English really well.	Nǐ Yīngyǔ shuōde hěn hǎo.	你英语说得很好。	[sound:R008-04.mp3]	267
Everyone knows she can speak English well.	dàjiā dōu zhīdào tā de yīngyǔ shuō de hěn hǎo. (also no 1st de)	大家都知道她的英语说得很好。	[sound:333282.mp3]	268
Does everyone view my decision as correct?	Dàjiā kàn wǒ de juédìng duì ma?	大家看我的决定对吗？	[sound:R104-06.mp3]	269
Did you understand?	Nǐ míngbai le ma?	你明白了吗？	[sound:tmpdheiqp.mp3]	270
I don't understand too well what he's saying.	wǒ bù tài míngbai tā shuō shénme. (also liaojie)	我不太明白他说什么。	[sound:332655.mp3]	271
At last, I understand.	Wǒ zhōngyú míngbai le.	我终于明白了。	[sound:tmpfmnzlw.mp3]	272
She's my daughter.	Tā shì wǒ de nǚ'ér.	她是我的女儿。	[sound:tmpql0mgd.mp3]	273
We have two daughters.	wǒmen yǒu liǎng ge nǚér .	我们有两个女儿。	[sound:334779.mp3]	274
Their daughter is cute.	Tāmen de nǚ'ér hěn kě'ài.	他们的女儿很可爱。	[sound:tmptyiavj.mp3]	275
She wants to be a teacher.	Tā xiǎng dāng lǎoshī.	她想当老师。	[sound:tmpeiv4ps.mp3]	276
The music is very good.	Yīnyuè hěn hǎo tīng.<div>(Also ting hao ting) (Ting hao le means you listened well)</div>	音乐很好听。	[sound:tmpdifqsz.mp3]	277
One of them is doing and the other is watching.	Tāmen yī gè zài zuò, lìng yī gè zài kàn.	他们一个在做，另一个在看。	[sound:tmp2fplq1.mp3]	278
Do you have any money?	Nǐ yǒu qián ma?	你有钱吗？	[sound:G011-03.mp3]	279
We will pass by your house.	Wǒmen huì jīngguò nǐ jiā.	我们会经过你家。	[sound:tmpfwra8t.mp3]	280
She is everything to him.	tā shì tā de yīqiè .	她是他的一切。	[sound:332435.mp3]	281
You are everything to me.	nǐ shì wǒ de yīqiè .	你是我的一切。	[sound:333179.mp3]	282
Everything is ok/no problem.	Yīqiè dōu méiyǒu wèntí.	一切都没有问题。	[sound:tmpkme6j2.mp3]	283
I hope everything will turn out well in the end.	wǒ xīwàng zuìhòu yīqiè dōuhǎo .	我希望最后一切都好。	[sound:333980.mp3]	284
All else is fine.	qítā de yīqiè dōuhǎo .	其他的一切都好。	[sound:332555.mp3]	285
I hope so.	wǒ xīwàng rúcǐ .	我希望如此。	[sound:333103.mp3]	286
These clothes belong to my daughter.	Zhèxiē yīfu shì nǚ'ér de.	这些衣服是女儿的。	[sound:tmpraulz9.mp3]	287
Maria spends a lot of money on clothes.	Maria huā hěn duō qián mǎi yīfu .	Maria花很多钱买衣服。	[sound:333648.mp3]	288
I like buying clothes.	Wǒ xǐhuan mǎi yīfu.	我喜欢买衣服。	[sound:tmpfyskrc.mp3]	289
She bought a piece of clothing.	Tā mǎile yī jiàn yīfu.	她买了一件衣服。	[sound:tmpccmde2.mp3]	290
How much does this piece of clothing cost?	Zhè jiàn yīfu duōshǎo qián?	这件衣服多少钱？	[sound:tmpak46ds.mp3]	291
She has a lot of hobbies.	Tā yǒu hěn duō àihào.	她有很多爱好。	[sound:R047-02.mp3]	292
Do you have a lot of hobbies?	Nǐ yǒu hěn duō àihào ma?	你有很多爱好吗？	[sound:G047-03.mp3]	293
I'll go pick him up. (for sure)	wǒ huì qù jiē tā de.	我会去接他的。	[sound:334424.mp3]	294
Answer the phone.	jiē diànhuà .	接电话。	[sound:332436.mp3]	295
Please answer the phone. (polite)	Qǐng jiē yīxià diànhuà. (also no yixia)	请接一下电话。	[sound:tmpv04uyk.mp3]	296
Let me introduce my classmate.	Ràng wǒ jièshào yī xià wǒde tóngxué.	让我介绍一下我的同学。	[sound:R044-05.mp3]	297
I'll also introduce myself!	Wǒ yě lái jièshào yīxià!	我也来介绍一下!	[sound:G044-04.mp3]	298
Please introduce yourself.	Qǐng jièshào nǐ zìjǐ. (also qing ziwo jieshao yixia)	请介绍你自己。	[sound:R044-07.mp3]	299
I can't let myself do this kind of thing.	wǒ bù néng ràng zìjǐ zuò zhèyàng de shì. (also wo ziji)	我不能让自己做这样的事。	[sound:332681.mp3]	300
The problem is we can't use our car that day.	wèntí shì nà tiān wǒmen de chē bù néng yòng. (also bu neng yong women de che)	问题是那天我们的车不能用。	[sound:334381.mp3]	301
They have their own culture.	tāmen yǒu tāmén zìjǐ de wénhuà .	他们有他们自己的文化。	[sound:333199.mp3]	302
I can't remember.	Wǒ bú jìde le.	我不记得了。	[sound:R091-01.mp3]	303
I remember that he used to work at our company.	Wǒ jìde tā yǐqián zài wǒmen gōngsī gōngzuò.	我记得他以前在我们公司工作。	[sound:R091-07.mp3]	304
I'm reading an English book.	Wǒ zài kàn Yīngwén shū. (also du)	我在看英文书。	[sound:tmpz7iyla.mp3]	305
Finding a job is easy.	Zhǎo gōngzuò hěn róngyì.	找工作很容易。	[sound:R072-05.mp3]	306
I do not know how to write Chinese.	Wǒ bù huì xiě Zhōngwén.	我不会写中文。	[sound:G009-06.mp3]	307
The problem has been solved.	Wèntí jiějué le.	问题解决了。	[sound:tmp08zfsk.mp3]	308
She's very talented.	Tā hěn yǒu cáinéng.	她很有才能。	[sound:tmpvnwpo8.mp3]	309
What happened?	Fāshēngle shénme shì? (also le at the end)	发生了什么事？	[sound:tmpwaetgw.mp3]	310
I wonder what has happened to her.	wǒ xiǎng zhīdào tā fāshēng shénme shì le. (also chu1)	我想知道她发生什么事了。	[sound:334329.mp3]	311
The students learn things quickly.	Xuéshēng xué dōngxi hěn kuài.	学生学东西很快。	[sound:R033-07.mp3]	312
He will be back soon.	tā hěn kuài jiù huì huílai de .	他很快就会回来的。	[sound:332892.mp3]	313
He will be back very soon.	tā hěn kuài jiù huì huílai. (also de)&nbsp;(also no jiu)	他很快就会回来。	[sound:333791.mp3]	314
I'll pick you up at your home at five.	wǒ wǔ diǎn dào nǐ jiā lái jiē nǐ . (also no lai)	我五点到你家来接你。	[sound:333216.mp3]	315
Now in China, everything has changed.	Xiànzài de Zhōngguó, yīqiè dōu biàn le.	现在的中国，一切都变了。	[sound:tmpt95slv.mp3]	316
This is your letter.	zhè shì nǐ de xìn.	这是你的信。	[sound:333502.mp3]	317
He lives very far from us.	Tā gēn wǒmen zhùde hěn yuǎn. (also he/li) (also ta zhu de li wo men hen yuan)	他跟我们住的很远。	[sound:R073-05.mp3]	318
The school is far away from my home.	Xuéxiào lí wǒ jiā hěn yuǎn.	学校离我家很远。	[sound:tmpbpxy6m.mp3]	319
My home is very close to the school.	Wǒ jiā lí xuéxiào hěn jìn.	我家离学校很近。	[sound:tmpozpux8.mp3]	320
Let me know if there is anything I can do.	ràng wǒ zhīdào shìfǒu yǒu shénme wǒ néng zuò de .	让我知道是否有什么我能做的。	[sound:334468.mp3]	321
They consider her to be the best teacher in the school.	Tāmen rènwéi tā shì xuéxiào lǐ zuì hǎode lǎoshī.	他们认为她是学校里最好的老师。	[sound:R075-06.mp3]	322
Don't you think so?	nǐ bù zhème rènwéi ma?	你不这么认为吗？	[sound:332629.mp3]	323
If I were you, I would do this, too.	rúguǒ wǒ shì nǐ, wǒ yě huì zhème zuò. (also no hui)	如果我是你，我也会这么做。	[sound:333157.mp3]	324
If we don't eat, we'll just die.	rúguǒ wǒmen bù chī, jiù huì sǐ.	如果我们不吃，就会死。	[sound:334449.mp3]	325
I'll come help you. (polite)	Wǒ lái bāng nín.	我来帮您。	[sound:tmpbyrqoo.mp3]	326
I have no friends to help me.	wǒ méi péngyou bāng wǒ .	我没朋友帮我。	[sound:332934.mp3]	327
Help me a bit	bāng wǒ yīxià .	帮我一下。	[sound:332800.mp3]	328
She is watching the baby for her friend.	Tā bāng péngyou kān háizi. (also zai to mean "now")	她帮朋友看孩子。	[sound:tmp4_emoq.mp3]	329
I have a lot of friends to help me.	wǒ yǒu hěn duō péngyou bāng wǒ .	我有很多朋友帮我。	[sound:333352.mp3]	330
Then, nobody helped you?	nà méi rén bāng nǐ ma ?	那没人帮你吗？	[sound:334434.mp3]	331
Please keep speaking.	Qǐng jìxù shuō.	请继续说。	[sound:tmpr4vysk.mp3]	332
Let us keep working, ok?	Ràng wǒmen jìxù gōngzuò ba.	让我们继续工作吧。	[sound:tmplnuxq9.mp3]	333
Please continue speaking.	Qǐng nǐ jìxù shuō.	请你继续说。	[sound:tmp6uyf6d.mp3]	334
Carry on!	Jìxù ba!	继续吧！	[sound:tmpsk7wsb.mp3]	335
This is my father.	Zhè shì wǒ de fùqin.	这是我的父亲。	[sound:tmpq9ijaq.mp3]	336
Excuse me, what is your student's name?	Qǐngwèn, nǐ de xuésheng jiào shénme míngzi?	请问,你的学生叫什么名字？	[sound:R014-02.mp3]	337
Excuse me, where is the school?	Qǐngwèn, xuéxiào zài nǎli?	请问,学校在哪里？	[sound:R014-05.mp3]	338
Excuse me, where can I buy English-language books?	Qǐngwèn, nǎlǐ kěyǐ mǎi Yīngyǔ shū?	请问,哪里可以买英语书？	[sound:G028-04.mp3]	339
Excuse me, what kind of job do you do? (polite)	Qǐngwèn nín cóngshì shénme gōngzuò?	请问您从事什么工作？	[sound:tmpdid4ol.mp3]	340
What are they discussing?	Tāmen zài tán shénme?	他们在谈什么？	[sound:tmpcjuln7.mp3]	341
Where is your cell phone?	Nǐde shǒujī zài nǎli?	你的手机在哪里？	[sound:G006-06.mp3]	342
Excuse me, do you have a cell phone?	Qǐngwèn, nǐ yǒu shǒujī ma?	请问,你有手机吗？	[sound:G014-07.mp3]	343
This is a cell phone.	Zhè shì shǒujī.	这是手机。	[sound:G010-01.mp3]	344
Do you have a cell phone?	Nǐ yǒu shǒujī ma?	你有手机吗？	[sound:G011-01.mp3]	345
Where is the cell phone?	Shǒujī zài nǎli?	手机在哪里？	[sound:R006-07.mp3]	346
Where can I buy a cell phone?	Nǎli kěyǐ mǎi shǒujī?	哪里可以买手机？	[sound:G028-02.mp3]	347
I have a cell phone.	Wǒ yǒu shǒujī.	我有手机。	[sound:R011-02.mp3]	348
Is that clear?	Qīngchu le ma?	清楚了吗？	[sound:tmpnidcft.mp3]	349
His writes characters very clearly.	Tā de zì xiě de hěn qīngchu. (also ta zi xie ...)	他的字写得很清楚。	[sound:tmphuyb0b.mp3]	350
He's just left the company.	Tā gāng líkāi gōngsī.	他刚离开公司。	[sound:tmpgbwqjq.mp3]	351
He has just left home.	tā gāng líkāi jiā .	他刚离开家。	[sound:333209.mp3]	352
He just returned home.	tā gāng huídào jiā .	他刚回到家。	[sound:335119.mp3]	353
He and you both come from China.	Tā hé nǐ yīyàng lái zì Zhōngguó. (also yiyang-&gt;liang ge dou)	他和你一样来自中国。	[sound:tmp7zjxrt.mp3]	354
What time does she go to work?	Tā jǐdiǎn shàngbān?	她几点上班？	[sound:R029-01.mp3]	355
He is the best student in our class.	Tā shì wǒmen bān zuì hǎode xuésheng.<div>(Also zai) (Also shang or li)</div>	他是我们班最好的学生。	[sound:R075-01.mp3]	356
Did you find me about something?	Nǐ zhǎo wǒ yǒu shì ma?	你找我有事吗？	[sound:R065-05.mp3]	357
Open your book.	Dǎkāi nǐde shū.	打开你的书。	[sound:R057-07.mp3]	358
Did anyone call me while I was out?	wǒ chūqù de shíhou yǒu rén dǎ wǒ diànhuà ma ?	我出去的时候有人打我电话吗？	[sound:333978.mp3]	359
This question is very simple.	Zhè gè wèntí hěn jiǎndān.	这个问题很简单。	[sound:tmpk3udkb.mp3]	360
Elsewhere, it's not that simple.	chúle zhèli, méi nàme jiǎndān.<div>(also mei you)</div>	除了这里，没那么简单。	[sound:335069.mp3]	361
The teacher teaches English to us.	Lǎoshī jiāo wǒmen Yīngwén.	老师教我们英文。	[sound:tmpt99eee.mp3]	362
I teach English at a university.	Wǒ zài dàxué jiāo Yīngwén.	我在大学教英文。	[sound:G025-03.mp3]	363
I would like to teach history.	Wǒ xiǎng jiāo lìshǐ.	我想教历史。	[sound:G025-07.mp3]	364
Do you teach English?	Nǐ jiāo Yīngwén ma?	你教英文吗？	[sound:R025-03.mp3]	365
She teaches the Chinese language.	Tā jiāo Zhōngwén.	她教中文。	[sound:R025-01.mp3]	366
I teach the Chinese language.	Wǒ jiāo Zhōngwén.	我教中文。	[sound:G025-01.mp3]	367
My friend teaches Chinese.	Wǒde péngyou jiāo Zhōngwén.	我的朋友教中文。	[sound:G025-02.mp3]	368
Who taught her how to speak English?	shì shéi jiāo tā zěnme shuō yīngyǔ de ?	是谁教她怎么说英语的？	[sound:333752.mp3]	369
You must start at once.	nǐ bìxū mǎshàng kāishǐ .	你必须马上开始。	[sound:333008.mp3]	370
The exam needs to start very soon.	Mǎshàng yào jìnxíng kǎoshì. (also kaishi)	马上要进行考试。	[sound:tmpbigfvs.mp3]	371
Mom works in a hospital.	Māma zài yīyuàn gōngzuò.	妈妈在医院工作。	[sound:tmpynz56u.mp3]	372
Please don't cry.	qǐng nǐ bùyào kū .	请你不要哭。	[sound:334469.mp3]	373
I want to cry.	wǒ xiǎng kū .	我想哭。	[sound:334542.mp3]	374
I'll tell you directly, ok?	Wǒ zhíjiē gàosu nǐ ba!	我直接告诉你吧！	[sound:tmp9qdrhu.mp3]	375
How are you lately?	Zuìjìn hǎo ma?	最近好吗？	[sound:tmpdzujwa.mp3]	376
You need to believe in your own ability.	Nǐ yào xiāngxìn zìjǐ de nénglì.	你要相信自己的能力。	[sound:R094-02.mp3]	377
He succeeded.	Tā chénggōng le.	他成功了。	[sound:tmpmqqwzy.mp3]	378
He wishes that he already succeeded.	tā xīwàng yǐjīng chénggōng le .	他希望已经成功了。	[sound:333467.mp3]	379
I am sure that he will be successful (at sth).	wǒ kěndìng tā huì chénggōng de. (also que ding)	我肯定他会成功的。	[sound:333257.mp3]	380
My mother is very busy.	Māma hěn máng.	妈妈很忙。	[sound:tmpuuyhix.mp3]	381
My papa is busy.	wǒ bàba hěn máng .	我爸爸很忙。	[sound:332500.mp3]	382
Are you busy today?	nǐ jīntiān máng ma ?	你今天忙吗？	[sound:333561.mp3]	383
Do you need my help? (with your undertaking)	Xūyào wǒ bāng nǐ de máng ma?	需要我帮你的忙吗？	[sound:tmpi2qtc5.mp3]	384
She needs help.	Tā xūyào bāngzhù.	她需要帮助。	[sound:tmphrgwcn.mp3]	385
I love my mother.	Wǒ ài wǒ de mǔqin.	我爱我的母亲。	[sound:tmprx8_qh.mp3]	386
Her mother will continue to work.	tā mǔqīn jiāng jìxù gōngzuò . (also yao4)	她母亲将继续工作。	[sound:334275.mp3]	387
You should study hard.	Nǐ yīnggāi nǔlì xuéxí.	你应该努力学习。	[sound:R053-04.mp3]	388
Chinese people work very hard.	Zhōngguórén gōngzuò hěn nǔlì.	中国人工作很努力。	[sound:R053-07.mp3]	389
He doesn't work hard.	Tā bù nǔlì gōngzuò.	他不努力工作。	[sound:R053-05.mp3]	390
He works very hard.	tā nǔlì gōngzuò .	他努力工作。	[sound:332637.mp3]	391
You worked too hard.	nǐ gōngzuò tài nǔlì le. (also ni tai nuli gongzuo le)	你工作太努力了。	[sound:332949.mp3]	392
You are too good, Willie answered.	nǐ tài hǎo le .Willie huídá dào .	“你太好了。”Willie回答道。	[sound:334473.mp3]	393
Each of them is very hard-working.	Tāmen měi gè rén dōu hěn nǔlì.	他们每个人都很努力。	[sound:tmpejgoj0.mp3]	394
I didn't know about this matter.	Wǒ bù zhīdào zhè jiàn shì.	我不知道这件事。	[sound:tmpjw7qin.mp3]	395
I don't know, and I don't want to.	wǒ bùzhī dào , yě bù xiǎng zhīdào .	我不知道，也不想知道。	[sound:332786.mp3]	396
How can you not know?	nǐ zěnme huì bù zhīdào ?	你怎么会不知道？	[sound:334830.mp3]	397
I don't know if I still have it.	wǒ bùzhī dào wǒ hái yǒu méiyǒu .	我不知道我还有没有。	[sound:335038.mp3]	398
Do I have any other options?	wǒ hái yǒu qítā xuǎnzé ma? (also qita de)	我还有其他选择吗？	[sound:333017.mp3]	399
I don't know what I should do anymore!	wǒ zàiyě bù zhīdào gāi zuò shénme le.	我再也不知道该做什么了。	[sound:335053.mp3]	400
Will you come to China again?<br />Maybe.	Nǐ huì zài lái Zhōngguó ma?<br />Kěnéng.	A你会再来中国吗？<br/>B可能。	[sound:R032-DLG.mp3]	401
If he put in just a little more effort, he might have already succeeded.	rúguǒ tā zài nǔlì yīdiǎn, jiù kěnéng yǐjīng chénggōng le .	如果他再努力一点，就可能已经成功了。	[sound:333662.mp3]	402
Something might have happened to her.	tā kěnéng chū shénme shì le. (also fasheng)	她可能出什么事了。	[sound:332431.mp3]	403
You may have heard.	nǐ kěnéng tīngshuō guò .	你可能听说过。	[sound:333991.mp3]	404
If at that time, he had worked a little harder, he would have succeeded.	rúguǒ tā dāngshí zài nǔlì yīdiǎn, tā jiù chénggōng le.	如果他当时再努力一点，他就成功了。	[sound:333334.mp3]	405
Please come to my home.	Qǐng lái wǒ de jiālǐ.	请来我的家里。	[sound:G030-04.mp3]	406
This (exam/homework problem) is very difficult.	Zhè dào tí hěn nán.	这道题很难。	[sound:tmptey_we.mp3]	407
